history,scenario,mode,attempt_budget,policy,requests,seeds,success_rate,success_rate_seed_sd,mean_cost,mean_attempts,cost_per_success,repeat_after_failure,retry_opportunities,first_failures,recovery_given_first_failure
50,arm_shift,episodic,3,repeat_initial,180,3,0.5333333333333333,0.07637626158259735,2.8398840114782065,2.1555555555555554,5.324782521521645,1.0,208,114,0.2631578947368421
50,arm_shift,episodic,3,switch_on_failure,180,3,0.6611111111111111,0.053575837561071975,4.384587762114854,2.0722222222222224,6.632149556140122,0.0,193,114,0.4649122807017544
50,arm_shift,episodic,5,original,180,3,0.7,0.02886751345948125,3.9577906310309925,2.7944444444444443,5.6539866157585665,0.5201238390092879,323,114,0.5263157894736842
50,arm_shift,episodic,5,ewma,180,3,0.7111111111111111,0.03849001794597504,3.8389848430892646,2.838888888888889,5.398572435594285,0.4622356495468278,331,119,0.5630252100840336
50,arm_shift,episodic,5,repeat_initial,180,3,0.6,0.07637626158259735,3.9592631996253975,3.022222222222222,6.5987719993756695,1.0,364,114,0.3684210526315789
50,arm_shift,episodic,5,switch_on_failure,180,3,0.7111111111111111,0.03849001794597504,5.72374360376798,2.3722222222222222,8.049014442798725,0.0,247,114,0.543859649122807
200,id,episodic,1,original,180,3,0.37222222222222223,0.025458753860865803,1.243186358853487,1.0,3.339903650651162,,0,113,0.0
200,id,episodic,1,ewma,180,3,0.3611111111111111,0.1058475493514314,1.1794258902511718,1.0,3.266102465310942,,0,115,0.0
200,id,episodic,1,repeat_initial,180,3,0.37222222222222223,0.025458753860865803,1.243186358853487,1.0,3.339903650651162,,0,113,0.0
200,id,episodic,1,switch_on_failure,180,3,0.37222222222222223,0.025458753860865803,1.243186358853487,1.0,3.339903650651162,,0,113,0.0
200,id,episodic,2,original,180,3,0.4777777777777778,0.05357583756107198,1.991617884614376,1.6277777777777778,4.168502549192883,0.8584070796460177,113,113,0.168141592920354
200,id,episodic,2,ewma,180,3,0.48333333333333334,0.11666666666666667,1.9396167894507124,1.6388888888888888,4.013000254035961,0.46956521739130436,115,115,0.19130434782608696
200,id,episodic,2,repeat_initial,180,3,0.45,0.07637626158259732,1.9688737576811288,1.6277777777777778,4.375275017069178,1.0,113,113,0.12389380530973451
200,id,episodic,2,switch_on_failure,180,3,0.55,0.05773502691896257,2.441698890605111,1.6277777777777778,4.439452528372936,0.0,113,113,0.2831858407079646
200,id,episodic,3,original,180,3,0.5833333333333334,0.033333333333333326,2.675510196488777,2.15,4.58658890826648,0.8115942028985508,207,113,0.336283185840708
