history,scenario,attempt_budget,policy,unique_questions,paired_episodes,success_delta,success_delta_low,success_delta_high,cost_delta,cost_delta_low,cost_delta_high
50,arm_shift,2,repeat_initial,60,180,-0.03333333333333333,-0.08333333333333331,0.011111111111111112,0.19677752039489452,0.024858156199098536,0.35690447111575835
50,arm_shift,2,switch_on_failure,60,180,0.027777777777777776,-0.027777777777777776,0.08333333333333333,-0.318092389760217,-0.5355111523733405,-0.0931689833648529
50,arm_shift,3,ewma,60,180,0.0611111111111111,0.005555555555555553,0.12222222222222222,0.11757450255788739,-0.057695783190461127,0.2923403242398779
50,arm_shift,3,original,60,180,0.03888888888888889,-0.011111111111111112,0.09444444444444443,0.3464403466738584,0.121248677662016,0.5708364917377423
50,arm_shift,3,repeat_initial,60,180,-0.03333333333333333,-0.08333333333333333,0.016666666666666666,0.31251142634712853,0.06379325540816827,0.5595947400374864
50,arm_shift,3,switch_on_failure,60,180,0.03888888888888889,-0.016666666666666663,0.09999999999999996,0.1480004258269144,-0.19491191325266077,0.46681290800319974
50,arm_shift,5,ewma,60,180,0.05555555555555555,0.0055555555555555575,0.10555555555555553,0.07627373375894832,-0.20972886031822868,0.3468127629983144
50,arm_shift,5,original,60,180,0.044444444444444446,-0.005555555555555553,0.09444444444444441,0.43662462388904616,0.09787447721308917,0.7766677098568463
50,arm_shift,5,repeat_initial,60,180,-0.04444444444444444,-0.09444444444444446,0.005555555555555555,0.4580408793837823,0.12958667585516495,0.7929491189744051
50,arm_shift,5,switch_on_failure,60,180,-0.016666666666666666,-0.05555555555555556,0.02222222222222222,-0.16310319068510046,-0.5881907410499414,0.28439480248386056
50,id,1,ewma,60,180,0.04999999999999998,1.8503717077085942e-18,0.09999999999999996,0.10354620971165852,0.04294492209350049,0.17611865451811382
50,id,1,original,60,180,0.05,-0.00013888888888888274,0.10555555555555553,0.11778032562617388,0.03797280231743472,0.19739491471682222
50,id,1,repeat_initial,60,180,0.05,-1.8503717077085942e-18,0.10013888888888814,0.11778032562617388,0.04237879041950483,0.19855263490366656
50,id,1,switch_on_failure,60,180,0.05,-0.005555555555555553,0.09999999999999999,0.11778032562617388,0.03732453998989436,0.19571764347620155
50,id,2,ewma,60,180,0.03888888888888889,-0.01111111111111111,0.08888888888888886,0.014342806834499252,-0.09221123363282974,0.12584359062389755
50,id,2,original,60,180,0.07777777777777777,0.011111111111111112,0.1444444444444444,0.18491238892480738,0.07095888828364559,0.30571501210574803
50,id,2,repeat_initial,60,180,0.03888888888888888,-0.016666666666666663,0.09444444444444441,0.14259952260065872,-0.01324138757687689,0.3117500793790604
50,id,2,switch_on_failure,60,180,0.055555555555555566,-0.005555555555555551,0.11666666666666664,-0.8183241856974618,-1.0321561073882148,-0.61725035282315
50,id,3,ewma,60,180,-0.011111111111111112,-0.06111111111111111,0.03888888888888888,0.016470259614678316,-0.12720543135645926,0.17152151781692895
